Year,State,County,loc_ID,x,y,e_1_1,e_1_2,e_1_3,e_1_4,e_1_5,e_1_6,e_1_7,e_1_8,e_2_1,e_2_2,e_2_3,e_2_4,e_2_5,e_2_6,e_2_7,e_2_8,e_3_1,e_3_2,e_3_3,e_3_4,e_3_5,e_3_6,e_3_7,e_3_8,e_4_1,e_4_2,e_4_3,e_4_4,e_4_5,e_4_6,e_4_7,e_4_8,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,rs_1_1,rs_1_2,rs_1_3,rs_1_4,rs_1_5,rs_1_6,rs_2_1,rs_2_2,rs_2_3,rs_2_4,rs_2_5,rs_2_6,rs_3_1,rs_3_2,rs_3_3,rs_3_4,rs_3_5,rs_3_6,rs_4_1,rs_4_2,rs_4_3,rs_4_4,rs_4_5,rs_4_6,rs_5_1,rs_5_2,rs_5_3,rs_5_4,rs_5_5,rs_5_6,yield
2016,INDIANA,MARSHALL,43,-86.26183156,41.32499811,66.1,48.1,23.5,0,2.2,48.4,84.5,110.8,65.3,79.4,114.6,33.7,46.1,111.4,100.5,96.7,17.54,12.67,7.97,0.5,3.7,11.6,15.2,22.1,6.32,1.89,0.87,-7.8,-5.3,1.5,3.1,9.3,21.2,48.5,73.3,73.3,73.3,73.3,73.3,54.3,14641.25,14776,15027.25,14968.75,14929.75,14782.75,13819.5,14104,14495.5,14596.25,14518.25,14396.5,860.5,617.5,355.25,270,337.75,399.25,2376.25,3741.25,4003.25,4490,3702.75,2683.75,1716.75,1237.75,773.25,641.5,732.5,837.25,76.8
2017,INDIANA,MARSHALL,43,-86.26183156,41.32499811,66,38.9,0,0.8,30.9,49,90.7,120,105.6,59.6,60.6,87.3,47.5,103.6,154.3,120.6,19.3,12.9,0.2,2.6,8.8,8.3,18.5,20.8,8.1,2.7,-6.2,-4.5,-2,-0.9,6.3,9,68,73.3,73.3,73.3,73.3,73.3,73.3,67.8,14526.5,14688.5,15012.75,14937.25,14823.75,14944.5,13785.75,14185.75,14438.75,14497.25,14406,14409,1076,1710,536,394.5,344,502.5,2541.5,3906.75,4016.25,3669,3811.75,2725.5,1794.25,1848.25,1118.25,632.75,764.5,960.5,70.4
2018,INDIANA,MARSHALL,43,-86.26183156,41.32499811,69.3,37.5,0,0,1.8,45.2,72.7,120.1,110,94.6,31.3,42.6,107.5,58.9,97.8,147.7,19,9.1,0.9,0.1,4.3,7.1,11.5,26,8.1,0.2,-7.3,-8.6,-5.5,-2.6,0,13.2,50.5,73.3,73.3,73.3,73.3,73.3,73.3,73.3,14530,14977.25,15024.75,14924.5,14903.25,14840.75,13527.5,14396,14539.75,14564.5,14533.5,14269.5,1028.25,710.75,371.5,258.5,401,458,1957.5,2903.75,4210.75,3980,4041.25,2451.25,1662,1285.25,801,555,764.25,894.75,74.1
2019,INDIANA,MARSHALL,43,-86.26183156,41.32499811,59,23.7,10.3,0,1.1,39.5,80.2,93.2,118.4,88.6,84.4,56.5,50.9,88,127.8,242.8,16.7,5,5,-0.3,3.4,7.2,16.3,22.3,6,-1.1,-3,-9.1,-6.1,-3.2,3.8,9,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,14652.5,14849,14840.75,15001,14775.75,14858.25,13908.5,14157.75,14395.25,14547.5,14502.5,14386,1024.75,699.5,726.25,350.5,650.5,896,2319.75,3007,4316.75,3994.25,4000.25,3411.5,1967.25,1195,1149,768.25,1002.5,1106.5,72
2020,INDIANA,MARSHALL,43,-86.26183156,41.32499811,71.6,24.3,20.8,5.6,1.3,56.2,77.2,114.2,141.4,39.3,70.4,99.2,46.4,97.3,84.2,124,18.1,6.4,6,4.2,3.2,10.4,14.6,21.6,5.8,-2.7,-2,-4.3,-6,0,2.2,8.7,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,14523.5,14571.25,15032.25,14988.75,15001.75,14725.75,13734.5,14051.25,14519,14625.5,14522.5,14191.5,986,1191,475,460.25,326,466.25,2515.75,3208,3992,4153.75,3217.75,2935.25,1898.5,1608.25,1137,811,735,873.25,70.6
2021,INDIANA,MARSHALL,43,-86.26183156,41.32499811,65.3,51.5,10.7,0.9,0,65.8,83.6,113.3,79.8,53,50.6,59.7,43.4,71.4,73.3,105.4,16.7,12.4,4.5,2.7,-2,11.9,16.5,21.6,4.7,3.2,-3.2,-5.8,-11.2,1.5,4.1,8.7,23.4,22.3,38.4,43.3,43.3,73.3,59.3,46.1,14567.5,14804.25,15133.75,15065,14977,14959.25,13787.5,14145.5,14474,14603.75,14567,14393.25,1495.25,717,556.25,285.75,216,546.75,2993.75,3368.5,3982.25,4289,3325.75,2933.75,2152,1357.5,1089,760.75,542.25,931,85.4
2003,INDIANA,MIAMI,44,-86.0460433,40.76954884,45.9,30.8,1.1,0,0,38.6,76.8,93,46.5,55.2,45.9,37,41.4,41.8,64.7,160.8,15.26,7.73,2.45,-2.71,-0.7,9.49,16.17,19.87,4.82,-0.6,-5.18,-11.21,-9.73,-2.56,3.87,8.78,9.9,31.4,34.5,34.5,34.5,71.8,61.6,71.8,14807.25,14838.75,14907.5,15109.5,15080.75,14823.75,14070,14290.75,14459.75,14646.25,14610.25,14269.75,652.5,415.5,1411.75,376.5,1095.5,320.5,2575.25,4023.75,4233,3695.25,3906.25,3078.5,1219.75,821.75,1478.5,826,1186.25,682.75,78.3
2004,INDIANA,MIAMI,44,-86.0460433,40.76954884,57.6,32.3,3.7,0,0,39.5,69.4,104.3,46.5,80.1,74.1,57.8,14,81.7,28.2,152.4,17.21,11.56,3.46,-1.74,2.54,10.06,17.15,23.16,4.23,1.99,-3.87,-10.34,-7.32,0.52,4.44,11.32,58.4,71.8,71.8,71.8,71.8,71.8,30.9,71.4,14776,14985.5,14903,14993,15009.5,15041.75,14037,14480.75,14555.25,14599.25,14482.25,14322.25,734.5,378,465.75,570.75,257.75,506.75,2759,3903,3541.75,4310.75,3160.25,2704.5,1436.75,745.5,729.25,911.75,556.5,904.5,67
2005,INDIANA,MIAMI,44,-86.0460433,40.76954884,64.9,31.8,0.7,0,2.3,23,96.8,82.4,66.9,95,69.1,150.3,65.1,35,60.9,38.9,17.61,10.66,2.84,0.4,3.88,6.41,17.65,20.57,5.73,2.18,-5.97,-7.86,-4.77,-4.04,4.59,7.55,25.1,71.8,71.8,71.8,71.8,71.8,71.8,26.4,14754,14894.75,15175.25,15149,15106.5,14994.5,14065.25,14233,14635.5,14663,14646.5,14522,676,376.5,339.5,336.5,282,341,2634.25,3632.75,3988.75,3604.75,3540.5,3041,1400.25,736,793.5,658.75,586.5,742.5,77.6
2006,INDIANA,MIAMI,44,-86.0460433,40.76954884,30,45.6,0,16.2,1.3,42.7,98.8,110.6,29.8,75,54.2,72.9,34.1,76.1,120.6,133.6,18.02,11.46,-0.76,6.25,3.27,8.51,18.53,20.98,6.54,0.3,-7.37,-1.68,-6.58,-1.54,5.53,9.45,9.9,35.5,35.5,71.8,71.8,71.8,71.8,71.8,14900,14845.5,15123.5,15061,15016.5,14859.25,14113.5,14344,14596,14677.75,14614.75,14293.5,637.5,513,343.75,333.25,287.25,348.75,2977.5,3949.75,3696.75,3899,3482.75,2802,1275.25,836.75,781,733.75,675.25,672,74.1
2007,INDIANA,MIAMI,44,-86.0460433,40.76954884,62.3,34.2,22.1,0.7,0,44.3,85.6,82.2,111,62.4,120.2,129.3,51,96.8,107.2,38.7,15.45,10.76,6.53,2.21,-3.61,12.09,14.68,25.27,3.83,1.45,-2.07,-5.34,-12.8,0.94,3.09,11.29,62.1,71.8,71.8,71.8,71.8,71.8,71.8,26.4,14881.75,15081.25,15103.5,15078.25,15233.75,15104.25,14039,14230.5,14507.5,14603.75,14728.5,14439,601.5,430.5,327,272,268.25,371,2418.25,3567.5,3835.25,3591,3114.25,2733,1213.25,903.25,730.5,623,581.5,806.25,62.4
2008,INDIANA,MIAMI,44,-86.0460433,40.76954884,70.3,42.5,1.3,0,0,30.8,91.5,121.3,69.8,99,115.1,74.5,132.4,84.5,67.1,130.9,21.16,9.6,2.53,1.26,0.53,6.6,16.94,20.22,9.08,-0.16,-4.48,-8.48,-8.34,-2.65,4.25,7.88,21.2,71.8,71.8,71.8,71.8,71.8,71.8,71.8,14803.75,14862,15073,15128.25,15057,15054,14014.25,14219.25,14629.75,14688.75,14586.75,14324,753.25,414.5,436,353.5,330.75,412.5,2360.25,3607.25,4064,4037.5,3506.5,2742.25,1510.75,804,843.25,751,652.75,781.5,75.5
2009,INDIANA,MIAMI,44,-86.0460433,40.76954884,56.6,36.1,0,0,1.1,59.8,83.2,115.1,57,43.2,127.5,27.2,76.6,126.5,146.3,105.6,17.85,8.62,2.33,-3.09,3.79,11.58,15.63,22.26,4.79,-0.69,-7.48,-12.99,-6.58,-0.95,4.29,9.73,11.6,16.5,16.5,16.5,29.3,71.8,71.8,57.1,14783.5,14827.5,14976.5,15093.25,15023.75,14825.5,14038,14176,14642.5,14560.25,14565,14400.5,775.25,1285.75,447.75,841,285.75,335.5,2133.75,4381,4158.5,4095.25,3564.75,3187.75,1460.75,1079,801.25,1052,656.5,690.5,77.5
2010,INDIANA,MIAMI,44,-86.0460433,40.76954884,58.2,37.9,0.9,0,0,49.9,93.6,114,136.5,38.7,77.3,31.5,32.6,78.7,68.1,122.6,14.66,12.33,1.68,-1.52,-0.29,11.42,19.94,23.02,4.64,2.45,-5.33,-8.52,-7.5,-0.04,6.54,11.78,71.8,70.7,71.8,71.8,71.8,71.8,44.5,47,14902.5,14897,15068.5,15183.5,15202.75,15016.25,14247,14443,14667.75,14791,14666.5,14360.75,623.25,405.5,346.75,253,326.75,370,2947.75,4215.75,4333,3474.5,3018.5,2791,1129.5,825.25,769.5,578.5,697.75,717.75,65.1
2011,INDIANA,MIAMI,44,-86.0460433,40.76954884,29.2,46.1,0,0,0,45.2,74.1,95.4,26.8,94.4,35.9,41.3,96.7,81,181.5,144.4,20.01,11.77,-0.95,-2.13,2.12,8.49,16.05,21.72,5.69,-0.64,-7.76,-9.94,-7.13,-1.56,4.78,10.89,13.7,57.3,57.3,57.3,57.3,71.8,71.8,71.8,14749.5,14977.75,15095,15137.5,15106.75,14866,13977.75,14349.25,14669.25,14808,14651,14326.25,658,416.5,373,282.5,292,522.25,2533.25,3778.5,4235.75,3858.25,3276.25,3089.25,1190.75,901.5,954,655,660.5,948.25,67.5
2012,INDIANA,MIAMI,44,-86.0460433,40.76954884,74.5,45.3,18.9,1.3,10.2,67,85.9,80.3,77.6,128.8,111.3,79.5,42.6,77.4,64.3,60.8,18.32,12.46,5.63,3.52,5.33,16.05,16.88,25.77,5.34,2.89,-1.77,-5.73,-3.92,4.2,4.14,12.43,47.4,71.8,71.8,71.8,71.8,71.8,47,24.4,14840.75,15148,15230.5,15463.25,15250,14821.5,14195.75,14492,14565.25,14816.25,14606.75,14294.25,425,470.25,517,441.25,361.5,323.5,3391.75,4552.75,4148.5,3686.5,2959,2968.25,823,1004.25,1003,939.25,718.25,611.25,60.8
2013,INDIANA,MIAMI,44,-86.0460433,40.76954884,65.9,30.3,15.9,0,0,13.8,73.8,107.4,88.4,20.9,74.9,98.9,56.7,50.3,186.8,91.4,16.17,10.17,6.04,2.32,1.78,4.81,15.21,23.53,5.14,-1.24,-1.19,-6.94,-6.88,-3.64,3.43,11.53,53.7,43.2,71.8,71.8,71.8,71.8,71.8,51.3,14677.5,14837.5,15029.5,15051,14998.25,14892,14071,14182.5,14622.25,14594,14548,14375.5,715,926.75,487,501.25,434.25,365.5,2631,4462,3999.25,4157.75,3431,3189.75,1424.25,1027,734.5,864,622.5,706,74.8
2014,INDIANA,MIAMI,44,-86.0460433,40.76954884,61.2,36.5,0,0,0,6.9,93.9,116,108.7,52.6,92,68.5,69.9,47.8,117.6,111.8,17.96,7.96,1.67,-2.75,-2.13,5.67,16.67,22.71,5.88,-1.05,-6.54,-13.33,-11.99,-5.96,3.88,10.23,55.8,69.2,69.2,69.2,69.2,71.8,71.8,62.1,14585.25,14884.5,14979.25,14957.25,15051,14953.75,13951.25,14488.25,14683.25,14529.75,14646.5,14325.25,965.75,554,942.5,342,312.5,373.5,2542.25,3774,4488,4213.25,3547.25,2928.75,1792.75,869.5,1158,770.5,631,741,86.8
2015,INDIANA,MIAMI,44,-86.0460433,40.76954884,62.7,23.2,5.1,0,0,32.6,85.9,106.1,71.5,61.3,53.8,50.7,35.3,57.6,105.5,97.6,16.96,6.22,3.68,-0.79,-3.67,7.3,16.94,23.81,5.67,-2.9,-2.82,-9.69,-14.14,-3.56,4.23,11.88,24.6,53.3,71.8,71.8,71.8,71.8,71.8,58.5,14669.75,14789,15079.25,15147.25,15018.75,14954,14163,14331.75,14676.5,14735.75,14595.75,14418.25,615.75,886.5,499.25,349.5,226.5,333,2517.5,4055.5,4131.75,4011.75,3344.5,3041.5,1152.75,984.25,846.25,774.75,566.5,660,63.4
2016,INDIANA,MIAMI,44,-86.0460433,40.76954884,58.2,47.9,23.7,0,3,49,86.1,105.4,55.2,66.3,123.1,37.5,58.4,109.3,107.8,92.5,18.3,13.12,8.68,1.1,4.2,12.4,15.9,21.7,6.33,2.05,1.12,-7.9,-5.2,1.9,3.7,9.7,16.1,31.2,71.8,71.8,71.8,71.8,71.8,54.3,14764,14901.75,15109.5,15010.5,14974.75,15065,14123.25,14301.5,14622.25,14755,14633.75,14520.5,673.5,342.75,352.25,288.75,620.75,272.5,2487,3833.25,4120,3338.75,3951.75,2565.75,1416.75,660.25,771.5,613.25,905.75,610.75,77.8
2017,INDIANA,MIAMI,44,-86.0460433,40.76954884,70.9,40.4,0,1.7,31.9,49,91.2,119.6,79.8,52.6,68.7,97.2,49.2,99.9,145.5,125.9,20.3,13.2,0.9,3.5,9.6,9.1,19.2,21.1,8.6,2.3,-6.1,-3.8,-1.7,-0.8,7,9.6,30.3,39.8,39.8,71.8,71.8,71.8,71.8,71.8,14858,14915.75,15062.5,15107,15072.25,15024.5,14057.5,14402.25,14535.25,14715,14518.25,14474.75,579,338.25,316.75,281,317.75,370.5,2612.75,3757.5,3914.75,4002.5,3557.25,2846.75,1306.5,727.75,688,668.75,702.5,746.5,77.7
2018,INDIANA,MIAMI,44,-86.0460433,40.76954884,65.9,36.9,0,0,3.2,42.3,71.3,119.9,89,97.5,37.4,46.8,118.4,65,99.8,124.3,19.3,9.7,1.5,0.2,5.2,7.1,12,26.3,8,0.4,-7.1,-8.8,-4.9,-2.7,0.6,14,34.9,71.8,71.8,71.8,71.8,71.8,71.8,70.3,14703.75,15031,15077,15143.25,15146.75,14998.75,13891.25,14529.25,14720.75,14680.25,14677.5,14525.25,885.5,346.5,300.75,351.5,254,314.25,2262.75,3837.5,4208,4127,3351.75,2812.75,1549.5,692.75,686.75,764.25,581,701.5,79
2019,INDIANA,MIAMI,44,-86.0460433,40.76954884,57.5,24,11.5,0,2.4,40.4,77.2,93.3,83.2,92.3,97.2,64.9,55.2,85.3,134.3,191,17.4,5.6,5.4,0.7,4.4,7.6,16.7,22.9,6.2,-1.1,-2.9,-8.4,-5.5,-3.2,4.5,10.2,71.8,71.8,71.8,71.8,71.8,71.8,71.8,71.8,14750,14900.25,14907.25,15067.5,15061.5,15142.5,13967.75,14478.25,14567.5,14710.5,14635,14591.5,642.75,412.75,511.5,304.75,246.5,318.5,2684.75,4243,3845,3930,3402.25,2658.5,1304.5,786.75,840.5,685.5,592.25,713,80
2020,INDIANA,MIAMI,44,-86.0460433,40.76954884,78.6,28.8,22.4,8.8,1.7,56.6,71.8,110.5,95.8,36.5,82.7,126.2,60.1,88.8,62.4,128.2,19.3,7,6.5,4.8,3.7,11.2,15.1,21.6,6.4,-2.5,-1.9,-4,-5.8,0.3,2.8,9.2,28.5,33.3,71.8,71.8,71.8,71.8,60.7,71.8,14538.5,14777.25,15108.75,15055.25,14943.75,14863,13968.25,14247.75,14579.25,14727.75,14618.5,14313.75,933.25,403.25,667.25,575.75,327.5,324.75,2593.25,3382,4288.75,4091.25,3530.75,2975.75,1320,675.75,1021.25,810.75,670,705.25,82.1
2021,INDIANA,MIAMI,44,-86.0460433,40.76954884,60.1,53.9,10.4,1,0,65,83.1,118.7,61.6,62.9,44.8,56.1,44.3,63.8,73.5,124.5,17.7,12.8,4.7,3.1,-1.5,12.4,16.7,21.5,5.1,3.1,-3.4,-5.7,-11,1.5,4.4,9.1,10.1,15.9,29.3,34.6,34.6,71.8,58.6,58.2,14734.25,14871.75,15088.25,15061.75,15024.75,14928,14044.5,14028.75,14625.5,14658.25,14645.25,14469,631.75,398.5,306.5,375,674.75,227.25,2631.75,3988.5,4273,4090.75,3716.5,2448.75,1280.5,699.5,745,824,828,503.25,94.6
2003,INDIANA,MONTGOMERY,45,-86.89285567,40.04088755,60.2,33,2.9,0,0,44.6,78,98.8,64.9,49,61.8,35.3,63.9,48.5,65.3,148.4,16.36,8.49,3.52,-2.03,-0.07,11.19,17.42,20.84,5.05,-0.69,-4.21,-10.45,-8.76,-1.41,4.87,9.27,24.2,37.7,48.4,48.4,48.4,100.7,86.8,100.7,14744.75,14816.75,15073.25,15020.25,15112.5,14786,13889.75,14032,14296.25,14493.5,14467,14122.5,1009.75,789.75,818.5,673.5,528.25,756.25,2784.5,3341.5,3291.75,3413.75,3232,3057.75,1763.75,1330,1514.5,1218,1071,1348.75,86.8
2004,INDIANA,MONTGOMERY,45,-86.89285567,40.04088755,61.9,35.1,9.2,0,1.2,44.9,74.3,110,51.9,99.8,88,79.2,16.4,115.4,34,169.6,18.25,12.44,4.39,-0.53,3.43,11.46,18.07,24.12,4.54,2.2,-3.15,-9.13,-6.39,1.01,5.08,12.23,88.1,100.7,100.7,100.7,100.7,100.7,60.1,100.7,14695.75,14850,14894,14990,14928.75,14938.5,13792,14065.25,14423.75,14451,14347.5,14229,958.25,662,640.75,612.75,700,802.25,2768.5,3420,3768,3168.75,3732.25,3050,1892.5,1202.5,992.5,1065,1304,1498.5,63.9
2005,INDIANA,MONTGOMERY,45,-86.89285567,40.04088755,69.6,34.2,1.7,0,8.9,44.7,96.7,101.2,98.2,120.6,61.1,167.7,57.7,35.7,90.3,54.2,18.46,11.52,3.76,1.66,5.25,8.02,18.53,21.73,6.2,2.75,-5.1,-6.02,-3.65,-2.94,5.26,7.96,60.2,100.7,100.7,100.7,100.7,100.7,100.7,51,14633,14940,15346.25,15278,15145.5,14956,13883.25,13989.5,14457.5,14609.75,14486.25,14422.75,857,597.5,701,781.25,489.25,494.75,3242.5,3904,3443.75,2864.75,2977.5,3250.25,1490.25,1057.25,1298.75,1453.25,1073.75,988.5,83.5
2006,INDIANA,MONTGOMERY,45,-86.89285567,40.04088755,51.2,47.4,0,21.1,2.1,47.1,100.8,112.8,46.8,87,57.1,74,31.3,117.3,123.5,127.4,18.81,12.25,0.29,7.22,4.1,9.74,19.52,21.58,6.51,0.49,-6.74,-0.93,-6.3,-0.77,6.22,9.65,24.9,60.1,60.1,100.7,100.7,100.7,100.7,100.7,14695.5,14700,15016.5,15197,15024.75,14664.75,13836.25,14281.75,14481.75,14644.25,14427.5,14255.5,875.25,1034,659.75,638.5,531.75,691.25,3355.25,3892,3731.25,3805.25,3407.75,3512.5,1470.25,1085.75,1085.5,1262.5,1075.75,939,69.9
2007,INDIANA,MONTGOMERY,45,-86.89285567,40.04088755,67.8,35.7,23.7,1.3,0,48.3,90.8,105.4,131.3,93.9,129.6,105.4,72.6,103.8,99,44,16.31,11.57,7.24,2.97,-2.55,13.99,15.75,25.81,3.88,1.56,-1.89,-4.62,-11.69,2.33,3.51,11.86,100.7,100.7,100.7,100.7,100.7,100.7,100.7,37,14418,14892.25,15116,15077,15040.5,14888,13826.75,14105.75,14383.5,14518.25,14544.25,14344.75,689.75,630.25,638.5,646,442.25,471,3109,4009.5,3592,3803.25,3375.25,3478.75,1126.5,1010,1179.5,1146,818.75,934,55.5
2008,INDIANA,MONTGOMERY,45,-86.89285567,40.04088755,84.5,46.4,4.3,0,0,42.2,85.7,119.4,98.4,77.9,114.9,70.2,118,120,70.8,153.9,21.8,10.71,3.7,1.86,1.33,8.44,17.3,20.82,9.06,0.1,-3.53,-7.87,-7.29,-1.69,4.62,8.3,22.9,50.4,84.2,84.2,84.2,100.7,94.7,100.7,14753.5,14780,15103.5,15067.25,15012,14753.25,13895.5,14041.25,14474.25,14495.25,14475,14207.5,961.25,610.75,492,512.75,543,597.75,2915.5,3836.75,4066,4225,3860.75,3430.75,1629.75,991,974.75,997.75,1009.5,1019.75,70
2009,INDIANA,MONTGOMERY,45,-86.89285567,40.04088755,62.3,38.8,1,0,3.1,62.3,85.7,120.6,56.3,51,136.9,28.1,74.6,61.5,168.1,154.4,18.96,9.46,3.22,-1.84,4.8,12.66,16.75,22.77,5.27,-0.45,-6.72,-11.35,-5.47,0.23,4.87,10.21,27,36.7,45.6,45.6,77.2,100.7,100.7,100.7,14618.75,14881.75,15071.5,14916.75,14990.75,14720.25,13683.75,14147.5,14436.25,14416,14379.25,14193.5,961.25,581.75,556.5,584.25,606,608.25,3276.25,3744.25,3641.5,3655.5,3663.25,3909.25,1474.25,951.5,939.5,825.5,1092.75,1049.5,74
2010,INDIANA,MONTGOMERY,45,-86.89285567,40.04088755,60,39.9,1.7,0,0,50.6,91.9,114.2,163.6,52.6,90.6,37.4,35.4,72.5,62.2,121.4,15.22,13.07,2.56,-1.58,-0.16,12.23,20.97,23.55,4.69,2.71,-4.73,-8.5,-7.72,0.67,7.25,11.97,100.7,100.7,100.7,100.7,100.7,100.7,69.5,70.6,14667.75,14809.25,14915.5,15110.75,15051.5,14838.5,13960.75,14351,14427.25,14627,14571.25,14177.75,795.5,572.25,892,563.25,538.25,592.75,3412.75,4104.25,3858.25,3910.25,3724.75,3652.5,1225.5,925,1193.75,968,1045.5,1070.25,57.8
2011,INDIANA,MONTGOMERY,45,-86.89285567,40.04088755,27.8,49.1,0,0,1.4,50.5,82.4,98.3,23.8,95.7,48.4,37.9,95.7,81.4,206.2,151.6,21.11,12.53,-0.36,-1.59,3.51,10.09,17.97,22.33,5.53,-0.26,-7.34,-9.09,-5.92,-0.23,5.76,10.9,19.1,60.9,60.9,60.9,73.9,100.7,100.7,100.7,14584.75,14842.25,14962.25,15285.5,15012.5,14748.5,13618.75,14260.75,14592.75,14706.75,14533.5,14128.5,896.75,582.25,873.25,511.5,447.5,499.25,2939.75,3741,3877,3998.5,3562.5,3655.75,1407,1018,1073,1014,851.75,1009.25,65
2012,INDIANA,MONTGOMERY,45,-86.89285567,40.04088755,71.1,46.7,23.2,3.6,19,71.1,91.9,117.6,68.7,142.3,123.1,73.1,38.5,78.1,74.3,84,19.16,13.13,6.48,4.53,6.23,17.27,18.36,26.44,5.21,3.17,-1.21,-4.92,-3.34,4.9,4.95,12.81,52.3,100.7,100.7,100.7,100.7,100.7,79.4,41.5,14575,14933.25,15257.25,15298.5,15154.5,14869,13802.75,14241.75,14486.75,14735,14462.5,14139.25,751.25,755.25,723.75,652.25,577.5,735.75,3331.5,3611.75,3698,3239,2789,2846,1332.75,1225.75,1311.5,1290,1164.25,1337.5,60.8
2013,INDIANA,MONTGOMERY,45,-86.89285567,40.04088755,68.6,36.5,18.5,0.6,1.1,24.6,77.7,113.2,95.4,30.5,89,106.4,58.1,64.7,177.9,135.4,16.81,11.46,6.91,3.07,2.74,5.79,16.57,23.59,5.08,-0.54,-0.57,-6.12,-5.96,-3.23,4.13,11.66,85.4,77.9,100.7,100.7,100.7,100.7,100.7,100.7,14525.5,15012,14966.5,15034.75,14993.5,14785.25,13650.75,14087.75,14403.25,14499.5,14499,14274.25,872.75,564.75,610.5,527,557.5,521.5,2867,3764,3781.75,3780,3822.75,3496.75,1647.25,1004.75,1080.5,949.25,1055.5,957,67.7
2014,INDIANA,MONTGOMERY,45,-86.89285567,40.04088755,64.5,38.5,0.9,0,0,31.1,97.2,118.6,128.1,65,103,60.9,66.6,53.1,140.1,109.8,18.64,8.75,2.65,-1.61,-1.25,7.61,17.89,23.61,5.84,-1.23,-5.85,-12.2,-11.01,-4.75,4.81,10.89,81.4,100.7,100.7,100.7,100.7,100.7,100.7,86.4,14646.5,14850.75,15032.5,15004,14933.25,14661.25,13600.25,14042,14338,14451,14588.25,14071.5,956.5,595.75,604.25,540.25,571.75,592.75,2894.75,4078.75,4087.5,3834.25,3926,3774,1588,1008.25,911,946.25,1037.75,1022.25,92.4
2015,INDIANA,MONTGOMERY,45,-86.89285567,40.04088755,68.2,29.2,9.9,0,0,45,91.8,109.2,83.3,60.5,64,47.8,46.3,77.6,114.8,96.2,18,7.02,4.36,0.62,-2.43,9.03,18.35,24.54,6.09,-2.95,-2.08,-8.31,-12.76,-2.41,5.46,12.3,69.4,94.8,100.7,100.7,100.7,100.7,100.7,82.8,14671.5,14847,15011,15059.25,14988.5,14823.75,13731.5,14022.25,14463,14583.25,14532,14252.25,827.5,504.5,784.5,485.75,576.25,416.75,3321.5,3860.5,4146,3735.5,4055.25,3359.5,1424.25,847.25,1091.75,875,1028.25,873.5,89.1
2016,INDIANA,MONTGOMERY,45,-86.89285567,40.04088755,67,48.9,27.4,0,7,52.5,91.4,108.6,62.5,98.4,155.1,31.2,54.7,109.3,98.9,102.2,19.54,13.86,9.63,1.9,5.1,13.5,17.4,22.2,6.63,2.6,1.96,-7.2,-4.6,2.7,4.6,9.9,29.3,73.9,100.7,100.7,100.7,100.7,100.7,89.1,14638.25,14785,15070.5,15135,14985,14844.5,13826,14137.25,14564.25,14594.5,14503.25,14415.25,830,596.75,573.25,557,509.25,1020.25,3481.75,3956.25,4256.25,3666.75,3887.25,3343,1355.25,959.5,990.5,958,870,1131.5,92.7
2017,INDIANA,MONTGOMERY,45,-86.89285567,40.04088755,71.1,41.5,1,4.7,33.2,55.4,95.3,122.1,67.1,55.9,71.2,77.7,36.8,104.2,158.5,133.9,21.6,13.9,2.2,4.4,10.5,10.9,20.3,22.2,8.9,2.4,-5.3,-3,-1.2,0.4,7.7,10.1,80.5,92.1,96.9,100.7,100.7,100.7,100.7,100.7,14650.5,14859,15038.75,14991.25,14958.5,15020.75,13792,13973.25,14489,14543.25,14382,14365,815.25,460.75,577.25,434.5,572.75,607.75,3131.75,3958,4036,3753.75,3935.25,3121,1267.75,781.75,1061.75,865.75,1033.25,1171,84.1
2018,INDIANA,MONTGOMERY,45,-86.89285567,40.04088755,66.6,40.5,1.2,0,8.5,51.3,77.9,116.7,106,81.4,37.3,42.8,129.1,88.4,88.1,110.6,19.8,11,3.1,0.8,6.2,8.3,13.5,27.3,8,0.6,-6.1,-8.5,-4.1,-2,1.1,14.5,65.9,100.7,100.7,100.7,100.7,100.7,100.7,89.1,14598.5,15094.5,15087,15044.5,15089.25,14873.75,13474,14225,14618.75,14519.5,14552,14250.75,996.75,499.75,496.75,564,864.75,495.25,2885,3604.75,3737.75,3749.25,4334.25,3361,1383.75,904.5,921.5,1098.75,1167.25,957.5,76.1
2019,INDIANA,MONTGOMERY,45,-86.89285567,40.04088755,60.8,25.6,17.5,0,6,46.8,79.8,98.7,83.9,105.5,123.7,73.5,57.8,91.5,115.9,207.3,18.4,6.4,6.3,1.4,5.3,8.6,17.8,23.9,6.3,-1.4,-2.3,-7.5,-4.6,-2.6,5,10.6,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,14718,14816.75,15000.75,15152,14978.25,14798,13808,14197.25,14503.5,14545.75,14476.25,14342.75,912.75,567,501,637.5,1277,456.75,3263.5,3469.25,3977.25,3718.25,3898,3612,1555.25,881.25,878,1142.5,1339,869.5,69
